Drug,Total Rx,Level,Value (mg),N,Minimum,25% QI,50% Median,75% Q3,Maximium
agomelatine,"5,442",Low,<=25,"2,148",12.5,25,25,25,25
,,Medium,>25 to <=50,"3,289",37.5,50,50,50,50
,,High,>50,5,75,100,100,100,100
,,,,,,,,,
amitriptyline,"1,557,719",Low,<=15,"502,799",2.5,10,10,15,15
,,Medium,>15 to <=50,"879,937",15.000001,20,25,50,50
,,High,>50,"174,983",56.25,75,100,150,450
,,,,,,,,,
amoxapine,321,Low,<=100,301,25,100,100,100,100
,,Medium,>100 to <=100,<5,15.000001,20,25,50,50
,,High,>100,~20,150,150,150,150,200
,,,,,,,,,
citalopram,"4,174,962",Low,<=15,"1,045,850",5,10,10,10,15
,,Medium,>15 to <=20,"2,340,676",16,20,20,20,20
,,High,>20,"788,436",22.5,40,40,40,400
,,,,,,,,,
clomipramine,"76,709",Low,<=25,"22,676",5,10,20,25,25
,,Medium,>25 to <=100,"35,681",30,50,50,75,100
,,High,>100,"18,352",112.5,150,150,200,312.5
,,,,,,,,,
desipramine,5,Low,<=50,<5,50,50,50,50,50
,,Medium,>50 to <=75,<5,75,75,75,75,75
,,High,>75,<5,200,200,200,200,200
,,,,,,,,,
dosulepin,"280,935",Low,<=50,"89,294",12.5,25,50,50,50
,,Medium,>50 to <=112.5,"123,233",56.25,75,75,75,112.5
,,High,>112.5,"68,408",125,150,150,150,375
,,,,,,,,,
doxepin,"7,794",Low,<=25,"2,139",10,15,25,25,25
,,Medium,>25 to <=75,"4,166",30,50,50,75,75
,,High,>75,"1,489",87.5,100,150,150,300
,,,,,,,,,
duloxetine,"353,521",Low,<=30,"96,691",10,30,30,30,30
,,Medium,>30 to <=60,"185,143",40,60,60,60,60
,,High,>60,"71,687",67.5,120,120,120,600
,,,,,,,,,
escitalopram,"411,591",Low,<=10,"270,140",2,10,10,10,10
,,Medium,>10 to <=20,"139,391",11.25,20,20,20,20
,,High,>20,"2,060",22.5,30,40,40,200
,,,,,,,,,
fluoxetine,"2,864,680",Low,<=20,"1,936,664",5,20,20,20,20
,,Medium,>20 to <=40,"688,872",30,40,40,40,40
,,High,>40,"239,144",45,60,60,60,200
,,,,,,,,,
fluvoxamine,"9,351",Low,<=50,"3,581",25,50,50,50,50
,,Medium,>50 to <=100,"3,744",75,100,100,100,100
,,High,>100,"2,026",112.5,200,200,200,600
,,,,,,,,,
imipramine,"38,745",Low,<=25,"9,834",5,10,25,25,25
,,Medium,>25 to <=100,"19,806",30,50,75,75,100
,,High,>100,"9,105",112.5,125,150,156.25,250
,,,,,,,,,
iproniazide,7,Low,<=30,<5,15,15,22.5,30,30
,,Medium,>30 to <=45,5,45,45,45,45,45
